State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Uttar Pradesh",Saharanpur,"Chutmalpur APMC",Pumpkin,Pumpkin,Local,21/02/2026,1400,1400,1400
"Uttar Pradesh",Saharanpur,"Chutmalpur APMC",Guava,Guava,Medium,21/02/2026,2500,2500,2500
"Uttar Pradesh",Saharanpur,"Chutmalpur APMC",Cauliflower,Cauliflower,Local,21/02/2026,500,500,500
Assam,Nagaon,"Dhing APMC",Capsicum,Capsicum,FAQ,21/02/2026,2000,2200,2100
Rajasthan,Ajmer,"Madanganj Kishangarh APMC",Maize,Other,Local,21/02/2026,2400,2748,2400
Gujarat,Dahod,"Dahod(Veg. Market) APMC","Bhindi(Ladies Finger)",Bhindi,Local,21/02/2026,2000,3000,2500
Gujarat,Dahod,"Dahod(Veg. Market) APMC","Bottle gourd","Bottle Gourd",Local,21/02/2026,1000,2000,1500
Gujarat,Dahod,"Dahod(Veg. Market) APMC",Cauliflower,Cauliflower,Local,21/02/2026,1000,3000,2500
Gujarat,Dahod,"Dahod(Veg. Market) APMC",Drumstick,Drumstick,Local,21/02/2026,2000,3500,3000
Gujarat,Dahod,"Dahod(Veg. Market) APMC","Pea Pod/Pea Cod/हरी मटर","Peas cod",Local,21/02/2026,2000,2500,2200
Gujarat,Dahod,"Dahod(Veg. Market) APMC",Raddish,Raddish,Local,21/02/2026,1000,1200,1100
Rajasthan,Alwar,"Kherli APMC",Wheat,Other,Non-FAQ,21/02/2026,2400,2525,2438
"Madhya Pradesh",Sheopur,"Sheopurkalan(F&V) APMC",Brinjal,Brinjal,Medium,21/02/2026,2000,2500,2300
"Madhya Pradesh",Sheopur,"Sheopurkalan(F&V) APMC","Bottle gourd","Bottle Gourd",Medium,21/02/2026,2000,2200,2100
"Madhya Pradesh",Sheopur,"Sheopurkalan(F&V) APMC",Pomegranate,Pomogranate,Medium,21/02/2026,8000,8000,8000
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Strawberry,Strawberry,"Grade A",21/02/2026,11300,11700,11500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Pineapple,"Pine Apple","Grade A",21/02/2026,6800,7200,7000
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Guava,Guava,"Grade B",21/02/2026,6300,6700,6500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC","Green Chilli","Green Chilly",Local,21/02/2026,7300,7700,7500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Tomato,Tomato,"Grade Range-1",21/02/2026,2000,2400,2200
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Beetroot,Beetroot,Medium,21/02/2026,2300,2700,2500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Spinach,Spinach,Local,21/02/2026,1500,1900,1700
Assam,Nagaon,"Ambagan APMC","Bitter gourd","Bitter Gourd",FAQ,21/02/2026,1700,1900,1800
Assam,Nagaon,"Haibargaon APMC",Potato,Potato,FAQ,21/02/2026,1000,1200,1100
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Maize,"Deshi Red",Local,21/02/2026,1800,2000,1900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Coriander(Leaves),"I Sort",Local,21/02/2026,5500,6000,5750
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)","Bitter gourd","Bitter Gourd",Local,21/02/2026,3000,3500,3250
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Snakeguard,Snakeguard,Local,21/02/2026,1800,2000,1900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)","Knool Khol","Knool Khol",Local,21/02/2026,3600,3800,3700
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Snakeguard,Snakeguard,Local,21/02/2026,2800,3000,2900
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Cabbage,Cabbage,Local,21/02/2026,3000,3500,3250
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Onion,Bellary,Local,21/02/2026,2500,3000,2750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Garlic,Average,Local,21/02/2026,12000,14000,13000
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Chikoos(Sapota),Sapota,Local,21/02/2026,3500,4000,3750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Pumpkin,Pumpkin,Local,21/02/2026,1200,1500,1350
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Green Avare(W)","Avare (W)",Local,21/02/2026,4500,5000,4750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Lemon,Lemon,Local,21/02/2026,4000,5000,4500
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Onion Green","Onion Green",Local,21/02/2026,2500,3000,2750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Mint(Pudina),Mint(Pudina),Local,21/02/2026,2500,3000,2750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Banana - Green","Banana - Green",Local,21/02/2026,2800,2800,2800
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Onion,Bellary,Local,21/02/2026,2500,2500,2500
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Brinjal,Round,Local,21/02/2026,2500,3000,2750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Tomato,Deshi,Local,21/02/2026,1600,1800,1700
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Snakeguard,Snakeguard,Local,21/02/2026,4000,4000,4000
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Bottle gourd","Bottle Gourd",Local,21/02/2026,1500,2000,1750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Pumpkin,Pumpkin,Local,21/02/2026,2000,2000,2000
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,21/02/2026,3500,4000,3750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Thondekai,Thondekai,Local,21/02/2026,4000,4000,4000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Cabbage,Cabbage,Local,21/02/2026,2000,2000,2000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Onion,Bellary,Local,21/02/2026,2500,2500,2500
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Papaya,Papaya,Local,21/02/2026,2500,3000,2750
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Ashgourd,Gouard,Local,21/02/2026,1800,1800,1800
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Pumpkin,Pumpkin,Local,21/02/2026,2000,2000,2000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)","Green Avare(W)","Avare (W)",Local,21/02/2026,5000,5000,5000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)","Tender Coconut","Tender Coconut",Local,21/02/2026,2500,2500,2500
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Lemon,Lemon,Local,21/02/2026,4000,4000,4000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)","Onion Green","Onion Green",Local,21/02/2026,5600,5600,5600
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Carrot,Pusakesar,Local,21/02/2026,4800,5000,4900
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Coriander(Leaves),"I Sort",Local,21/02/2026,1000,1500,1250
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Ashgourd,Gouard,Local,21/02/2026,1800,2000,1900
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,21/02/2026,2000,2500,2250
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Ridgeguard(Tori),Ridgeguard(Tori),Local,21/02/2026,3800,4000,3900
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)","Green Avare(W)","Avare (W)",Local,21/02/2026,3800,4000,3900
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Guava,"Guava Allahabad",Local,21/02/2026,3600,4000,3800
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Yam(Ratalu),"Yam (Ratalu)",Local,21/02/2026,4600,5000,4800
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Mint(Pudina),Mint(Pudina),Local,21/02/2026,2800,3000,2900
"Tamil Nadu",Nagapattinam,"Vedaranyam(Uzhavar Sandhai)",Banana,Besrai,Local,21/02/2026,3500,4000,3750
"Tamil Nadu",Nagapattinam,"Vedaranyam(Uzhavar Sandhai)",Potato,"Red Nanital",Local,21/02/2026,3000,3500,3250
"Tamil Nadu",Nagapattinam,"Vedaranyam(Uzhavar Sandhai)","Cluster beans","Cluster Beans",Local,21/02/2026,3000,3500,3250
"Tamil Nadu",Nagapattinam,"Vedaranyam(Uzhavar Sandhai)",Ashgourd,Gouard,Local,21/02/2026,2200,2400,2300
